key,description
API_CONTRACT_DETAILS.ESC_EXPIRATION_DT,ESC_EXPIRATION_DT The expiry date of the escrow itemization
API_CONTRACT_DETAILS.ESC_REF_ACCOUNT_NBR,ESC_REF_ACCOUNT_NBR Reference customer Tax/Insurance account number for the escrow itemization
API_CONTRACT_DETAILS.ESC_PROPERTY_TAX_CD,ESC_PROPERTY_TAX_CD Property tax code for the tax escrow itemization
API_CONTRACT_DETAILS.ESC_COVERAGE_TYPE_CD,ESC_COVERAGE_TYPE_CD  Escrow insurance itemization coverage type
API_CONTRACT_DETAILS.ESC_COVERAGE_TERM,ESC_COVERAGE_TERM Escrow insurance itemization coverage term
API_CONTRACT_DETAILS.ESC_COVERAGE_AMT,ESC_COVERAGE_AMT Escrow insurance itemization coverage amount
API_CONTRACT_DETAILS.ESC_CUSHION_ALLOWED_IND,ESC_CUSHION_ALLOWED_IND Indicates is cushion is allowed for an escrow itemization
API_CONTRACT_DETAILS.ESC_SUB_TYPE,ESC_SUB_TYPE Reference key to the escrow setup for escrow itemization
API_CONTRACT_DETAILS.ESC_VAL,ESC_VAL The value associated with the escrow itemization transaction
API_CONTRACT_DETAILS.ACD_CANCEL_FEE,ACD_CANCEL_FEE Stores the insurance cancellation fee amount and it is used for converting accounts from other system
API_CONTRACT_DETAILS.ACD_CANCEL_GRACE_DAYS,ACD_CANCEL_GRACE_DAYS The number of days that allows insurance cancellation without fee and it is used for converting accounts from other system
API_CONTRACT_DETAILS.ACD_GRACE_PERIOD_FEE_IND,ACD_GRACE_PERIOD_FEE_IND Indicates whether or not cancellation fee could be charged during grace days and it is used for converting accounts from other system
API_CONTRACT_DETAILS.ACD_ITEMIZATION_TYPE_CD,ACD_ITEMIZATION_TYPE_CD Reference key to lookup contract itemization type and it is used for converting accounts from other system
API_CONTRACT_DETAILS.ACD_CUR_CURRENCY_CODE,ACD_CUR_CURRENCY_CODE Reference key to Currency
API_CONTRACT_DETAILS.ACD_DISB_CUR_CURRENCY_CODE,ACD_DISB_CUR_CURRENCY_CODE Reference key to Currency
API_CONTRACT_DETAILS.ACD_DISBURSEMENT_TYPE,ACD_DISBURSEMENT_TYPE disbursement Type
API_CONTRACT_DETAILS.ACD_PREFUNDING_STATUS_CD,ACD_PREFUNDING_STATUS_CD Prefunding Status code
API_CONTRACT_DETAILS.ACD_PMT_DT,ACD_PMT_DT Payment Date
API_CONTRACT_DETAILS.ACD_PMT_REFERENCE_NBR,ACD_PMT_REFERENCE_NBR Payment Reference Number
API_CONTRACT_DETAILS.ACI_COMMENT2,ACI_COMMENT2 A user defined comment for the insurance
API_CONTRACT_DETAILS.ACI_TERM2,ACI_TERM2 Total term of the insurance
API_CONTRACT_DETAILS.ACI_PRIMARY_BENEFICIARY2,ACI_PRIMARY_BENEFICIARY2 Second insurance primary beneficiary name in  
API_CONTRACT_DETAILS.ACI_COMMISSION_AMT2,ACI_COMMISSION_AMT2 Insurance contract itemization commission amount for insurance 2
API_CONTRACT_DETAILS.ACI_CMP_CODE2,ACI_CMP_CODE2 Reference Key to commission plan code for insurance 2
API_CONTRACT_DETAILS.ACI_INS_REFUND_ALLOWED_IND2,ACI_INS_REFUND_ALLOWED_IND2 Indicates insurance refund allowed for insurance 2
API_CONTRACT_DETAILS.ACI_INS_REFUND_CALC_METHD_CD2,ACI_INS_REFUND_CALC_METHD_CD2 Reference key to lookup insurance refund calculation method such as sum of digits for insurance 2
API_CONTRACT_DETAILS.ACI_EFFECTIVE_DT2,ACI_EFFECTIVE_DT2 Date on which the policy comes into effect for insurance 2
API_CONTRACT_DETAILS.ACD_INS_CANCEL_FEE_FROM_CD,ACD_INS_CANCEL_FEE_FROM_CD Cancel fee from rebate or premium possible values PRM/RBT/NULL
API_CONTRACT_DETAILS.ACD_INS_CANCEL_FEE_FROM_CD,ACD_INS_CANCEL_FEE_FROM_CD Cancel fee from rebate or premium possible values PRM/RBT/NULL
API_CONTRACT_DETAILS.ACI_PHONE_EXTN12,ACI_PHONE_EXTN12 Phone number 1 extn of the insurance company for insurance 2
API_CONTRACT_DETAILS.ACI_ITEMIZATION_TCD_CODE2,ACI_ITEMIZATION_TCD_CODE2 Insurance type for insurance 2
API_CONTRACT_DETAILS.ACI_VAL2,ACI_VAL2 Value associated with this insurance for insurance 2
API_CONTRACT_DETAILS.ACI_INS_SUB_TYPE_CD2,ACI_INS_SUB_TYPE_CD2 Insurance sub type for insurance 2
API_CONTRACT_DETAILS.ACI_COMPANY2,ACI_COMPANY2 Insurance company name for insurance 2
API_CONTRACT_DETAILS.ACI_POLICY_NBR2,ACI_POLICY_NBR2 Insurance policy number for insurance 2
API_CONTRACT_DETAILS.ACI_PHONE_NO12,ACI_PHONE_NO12 Phone number 1 of the insurance company for insurance 2
API_CONTRACT_DETAILS.ACI_PHONE_NO1,ACI_PHONE_NO1 The phone number 1 of the insurance company
API_CONTRACT_DETAILS.ACI_PHONE_EXTN1,ACI_PHONE_EXTN1 The phone number 1 extn of the insurance company
API_CONTRACT_DETAILS.ACI_EFFECTIVE_DT,ACI_EFFECTIVE_DT Date on which the policy comes into effect
API_CONTRACT_DETAILS.ACI_EXPIRY_DT,ACI_EXPIRY_DT First insurance expiration date in  
API_CONTRACT_DETAILS.ACI_TERM,ACI_TERM Total term of the insurance
API_CONTRACT_DETAILS.ACI_PRIMARY_BENEFICIARY,ACI_PRIMARY_BENEFICIARY Name of the primary beneficiary of insurance
API_CONTRACT_DETAILS.ACI_COMMENT,ACI_COMMENT A user defined comment for the insurance
API_CONTRACT_DETAILS.AAW_ITEMIZATION_TCD_CODE,AAW_ITEMIZATION_TCD_CODE Itemization related to warranty
API_CONTRACT_DETAILS.AAW_VAL,AAW_VAL Value of warranty policy
API_CONTRACT_DETAILS.AAW_COMPANY,AAW_COMPANY Name of warranty company
API_CONTRACT_DETAILS.AAW_POLICY_NBR,AAW_POLICY_NBR Policy of warranty
API_CONTRACT_DETAILS.AAW_PHONE_NO1,AAW_PHONE_NO1 Phone number of warranty company
API_CONTRACT_DETAILS.AAW_PHONE_EXTN1,AAW_PHONE_EXTN1 Phone extension of warranty company
API_CONTRACT_DETAILS.AAW_COMMENT,AAW_COMMENT Comment of warranty
API_CONTRACT_DETAILS.AAW_COMMISSION_AMT,AAW_COMMISSION_AMT Warranty or extended service contract itemization commission amount
API_CONTRACT_DETAILS.AAW_INS_REFUND_ALLOWED_IND,AAW_INS_REFUND_ALLOWED_IND Indicates insurance refund allowed
API_CONTRACT_DETAILS.AAW_INS_REFUND_CALC_METHOD_CD,AAW_INS_REFUND_CALC_METHOD_CD Reference key to lookup insurance refund calculation method such as sum of digits
API_CONTRACT_DETAILS.ACI_INS_AUTO_REBATE_IND2,ACI_INS_AUTO_REBATE_IND2 Indicator for auto premium rebate allowed or not
API_CONTRACT_DETAILS.ACI_INS_AUTO_REBATE_IND,ACI_INS_AUTO_REBATE_IND Indicator for auto premium rebate allowed or not
API_CONTRACT_DETAILS.ACD_1098_SELLER_PMT_IND,ACD_1098_SELLER_PMT_IND contract details Seller payment indicator
API_CONTRACT_DETAILS.ACD_1098_SELLER_PMT_IND,ACD_1098_SELLER_PMT_IND contract details Seller payment indicator
API_CONTRACT_DETAILS.ACI_EXPIRY_DT2,ACI_EXPIRY_DT2 Second insurance expiration date in  
API_CONTRACT_DETAILS.CREATION_DATE,CREATION_DATE Standard Who
API_CONTRACT_DETAILS.ACI_PIN_CODE,ACI_PIN_CODE First insurance pincode in  
API_CONTRACT_DETAILS.ACI_PIN_CODE2,ACI_PIN_CODE2 Second insurance pincode in  
API_CONTRACT_DETAILS.CREATED_BY,CREATED_BY Standard Who
API_CUSTOMERS_PRIMARY.ALT_VALUE4,ALT_VALUE4 Value4
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE5,ALT_FTA_TABLE_ATTRIBUTE5 Name of the unit tracking attribute parameter5
API_CUSTOMERS_PRIMARY.ALT_VALUE5,ALT_VALUE5 Value5
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE6,ALT_FTA_TABLE_ATTRIBUTE6 Name of the unit tracking attribute parameter6
API_CUSTOMERS_PRIMARY.ALT_VALUE6,ALT_VALUE6 Value6
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE7,ALT_FTA_TABLE_ATTRIBUTE7 Name of the unit tracking attribute parameter7
API_CUSTOMERS_PRIMARY.ALT_VALUE7,ALT_VALUE7 Value7
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE8,ALT_FTA_TABLE_ATTRIBUTE8 Name of the unit tracking attribute parameter8
API_CUSTOMERS_PRIMARY.ALT_VALUE8,ALT_VALUE8 Value8
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE9,ALT_FTA_TABLE_ATTRIBUTE9 Name of the unit tracking attribute parameter9
API_CUSTOMERS_PRIMARY.ALT_VALUE9,ALT_VALUE9 Value9
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE10,ALT_FTA_TABLE_ATTRIBUTE10 Name of the unit tracking attribute parameter10
API_CUSTOMERS_PRIMARY.ALT_VALUE10,ALT_VALUE10 Value10
API_CUSTOMERS_PRIMARY.APL_APP_ORIG_SYS_XREF,APL_APP_ORIG_SYS_XREF Original system cross reference for application
API_CUSTOMERS_PRIMARY.APL_FIRST_NAME,APL_FIRST_NAME First name of applicant
API_CUSTOMERS_PRIMARY.APL_MIDDLE_NAME,APL_MIDDLE_NAME Applicant middle name
API_CUSTOMERS_PRIMARY.APL_LAST_NAME,APL_LAST_NAME Applicant last name
API_CUSTOMERS_PRIMARY.APL_GENERATION_CD,APL_GENERATION_CD Applicant generation such as Jr  Sr  III
API_CUSTOMERS_PRIMARY.APL_SSN,APL_SSN Nine digit Social Security number
API_CUSTOMERS_PRIMARY.APL_BIRTH_DT,APL_BIRTH_DT Birth date of applicant
API_CUSTOMERS_PRIMARY.APL_GENDER_CD,APL_GENDER_CD Gender of applicant  M=male  F=female
API_CUSTOMERS_PRIMARY.APL_LANGUAGE_CD,APL_LANGUAGE_CD Primary language of applicant such as E (English)  S (Spanish)
API_CUSTOMERS_PRIMARY.APL_MARITAL_STATUS_CD,APL_MARITAL_STATUS_CD Applicant marital status such as M (Married)  S (Single)
API_CUSTOMERS_PRIMARY.APL_EMAIL_ADDRESS1,APL_EMAIL_ADDRESS1 Applicant email address
API_CUSTOMERS_PRIMARY.APL_CLASS_TYPE_CD,APL_CLASS_TYPE_CD Applicant class as defined by Company such as employee
API_CUSTOMERS_PRIMARY.APL_CRB_ECOA_CD,APL_CRB_ECOA_CD Applicant ECOA code on the liability such as individual  joint contractual liability etc
API_CUSTOMERS_PRIMARY.APL_RACE_NATIONAL_ORIGIN_CD,APL_RACE_NATIONAL_ORIGIN_CD Applicant national origin
API_CUSTOMERS_PRIMARY.APA_ADDRESS_NBR,APA_ADDRESS_NBR Numeric portion of address location
API_CUSTOMERS_PRIMARY.APA_STREET_NAME,APA_STREET_NAME Name of street where address is located
API_CUSTOMERS_PRIMARY.APA_APT_STE_NBR,APA_APT_STE_NBR Apartment or suite number of address
API_CUSTOMERS_PRIMARY.APA_ADDRESS1,APA_ADDRESS1 First line of address for this location
API_CUSTOMERS_PRIMARY.APA_ADDRESS2,APA_ADDRESS2 Second line of address for this location
API_CUSTOMERS_PRIMARY.APA_ZIP,APA_ZIP 5 Digit Zip Code of applicant address
API_CUSTOMERS_PRIMARY.APA_CITY,APA_CITY City name of address
API_CUSTOMERS_PRIMARY.APA_STATE_CD,APA_STATE_CD Name of state where address is located
API_CUSTOMERS_PRIMARY.APA_ZIP_EXTN,APA_ZIP_EXTN Last 4 digits of Zip Code of applicant address
API_CUSTOMERS_PRIMARY.APA_COUNTRY_CD,APA_COUNTRY_CD Stores country code for PRIMARY applicant address
API_CUSTOMERS_PRIMARY.APA_PHONE,APA_PHONE The phone number at the address
API_CUSTOMERS_PRIMARY.APA_OWNERSHIP_CD,APA_OWNERSHIP_CD Indicates if applicant owns or rents property
API_CUSTOMERS_PRIMARY.APA_LOCATION,APA_LOCATION Identifies MSA (metropolitan statistical area) location
API_CUSTOMERS_PRIMARY.APA_BLOCK,APA_BLOCK Identifies census tract/block number of address
API_CUSTOMERS_PRIMARY.APA_COMMENT,APA_COMMENT Comments about applicant address
API_CUSTOMERS_PRIMARY.APE_NAME,APE_NAME Name of employer
API_CUSTOMERS_PRIMARY.APE_TITLE,APE_TITLE The actual name of applicant position at employment
API_CUSTOMERS_PRIMARY.APE_OCCUPATION_CD,APE_OCCUPATION_CD Occupation of applicant such as professional
API_CUSTOMERS_PRIMARY.APE_ADDRESS1,APE_ADDRESS1 First line of address for this location of employment
API_CUSTOMERS_PRIMARY.APE_ADDRESS1,APE_ADDRESS1 First line of address for this location of employment
API_CUSTOMERS_PRIMARY.APE_ADDRESS2,APE_ADDRESS2 Second line of address for this location of employment
API_CUSTOMERS_PRIMARY.APE_ZIP,APE_ZIP 5 Digit Zip Code of employer address
API_CUSTOMERS_PRIMARY.APE_CITY,APE_CITY City name of address
API_CUSTOMERS_PRIMARY.APE_STATE_CD,APE_STATE_CD State code where employment is located
API_CUSTOMERS_PRIMARY.APE_ZIP_EXTN,APE_ZIP_EXTN Last 4 digits of Zip Code of employer address
API_CUSTOMERS_PRIMARY.APE_COUNTRY_CD,APE_COUNTRY_CD Stores country code for PRIMARY applicant employment address
API_CUSTOMERS_PRIMARY.APE_PHONE,APE_PHONE Phone number of employer
API_CUSTOMERS_PRIMARY.APE_PHONE_EXTN,APE_PHONE_EXTN Phone number extension of employer
API_CUSTOMERS_PRIMARY.APE_COMMENT,APE_COMMENT Comments about applicant address
API_CUSTOMERS_PRIMARY.APT_MOBILE_NUMBER,APT_MOBILE_NUMBER The mobile number of the primary customer
API_CUSTOMERS_PRIMARY.APT_FAX_NUMBER,APT_FAX_NUMBER The fax number of the primary customer
API_CUSTOMERS_PRIMARY.APT_PAGER_NUMBER,APT_PAGER_NUMBER The pager number of the primary customer
API_CUSTOMERS_PRIMARY.APL_ETHNIC_CD,APL_ETHNIC_CD Ethnic Code
API_CUSTOMERS_PRIMARY.APA_COUNTRY_CD,APA_COUNTRY_CD Stores country code for PRIMARY applicant address
API_CUSTOMERS_PRIMARY.APE_COUNTRY_CD,APE_COUNTRY_CD Stores country code for PRIMARY applicant employment address
API_CUSTOMERS_PRIMARY.APE_EMPLOYMENT_TYPE_CD,APE_EMPLOYMENT_TYPE_CD Type of the employment such as full time  part time
API_CUSTOMERS_PRIMARY.APE_STREET_NAME,APE_STREET_NAME Street Name
API_CUSTOMERS_PRIMARY.APE_APT_STE_NBR,APE_APT_STE_NBR Apartment Number
API_CUSTOMERS_PRIMARY.APE_ADDRESS_NBR,APE_ADDRESS_NBR Street number of address for this location
API_CUSTOMERS_PRIMARY.APA_STREET_NAME,APA_STREET_NAME Name of street where address is located
API_CUSTOMERS_PRIMARY.APA_APT_STE_NBR,APA_APT_STE_NBR Apartment or suite number of address
API_CUSTOMERS_PRIMARY.APA_ADDRESS_NBR,APA_ADDRESS_NBR Numeric portion of address location
API_CUSTOMERS_PRIMARY.APL_SALUTATION_TYPE_CD,APL_SALUTATION_TYPE_CD Salutation
API_CUSTOMERS_PRIMARY.APL_CHRISTIAN_NAME,APL_CHRISTIAN_NAME Applicant Initials
API_CUSTOMERS_PRIMARY.APL_MAIDEN_MI_NAME,APL_MAIDEN_MI_NAME Applicant Middle Initial
API_CUSTOMERS_PRIMARY.APL_MAIDEN_NAME,APL_MAIDEN_NAME Applicant Maiden Name
API_CUSTOMERS_PRIMARY.APL_FULL_NAME,APL_FULL_NAME Applicant Full Name
API_CUSTOMERS_PRIMARY.APL_PERMIT_TO_STAY_CD,APL_PERMIT_TO_STAY_CD Permission to Stay in the Country
API_CUSTOMERS_PRIMARY.APL_PERMIT_TO_WORK_CD,APL_PERMIT_TO_WORK_CD Permission to Work in the Country
API_CUSTOMERS_PRIMARY.APL_SPECIALITY_TYPE_CD,APL_SPECIALITY_TYPE_CD Special Condition for Applicant
API_CUSTOMERS_PRIMARY.APL_EXISTING_CIF,APL_EXISTING_CIF Existing applicant CIF
API_CUSTOMERS_PRIMARY.APL_PASSPORT_NBR,APL_PASSPORT_NBR Passport number of customer
API_CUSTOMERS_PRIMARY.APL_PASSPORT_ISSUE_DT,APL_PASSPORT_ISSUE_DT Passport Issue date of customer
API_CUSTOMERS_PRIMARY.APL_PASSPORT_EXPIRY_DT,APL_PASSPORT_EXPIRY_DT Passport expiry date of customer
API_CUSTOMERS_PRIMARY.APL_MSG_PREFERENCE,APL_MSG_PREFERENCE Stores the Message reference
API_CUSTOMERS_PRIMARY.APL_NATIONAL_ID,APL_NATIONAL_ID National ID of applicant
API_CUSTOMERS_PRIMARY.APA_LANDMARK,APA_LANDMARK Landmark near address
API_CUSTOMERS_PRIMARY.APA_ADDRESS3,APA_ADDRESS3 Address Line 3
API_CUSTOMERS_PRIMARY.APE_DEPARTMENT,APE_DEPARTMENT Stores the department
API_CUSTOMERS_PRIMARY.APE_EMPLOYEE_ID,APE_EMPLOYEE_ID Stores the Employee ID
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE1,ALT_FTA_TABLE_ATTRIBUTE1 Name of the unit tracking attribute parameter1
API_CUSTOMERS_PRIMARY.ALT_VALUE1,ALT_VALUE1 Value1
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE2,ALT_FTA_TABLE_ATTRIBUTE2 Name of the unit tracking attribute parameter2
API_CUSTOMERS_PRIMARY.ALT_VALUE2,ALT_VALUE2 Value2
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE3,ALT_FTA_TABLE_ATTRIBUTE3 Name of the unit tracking attribute parameter3
API_CUSTOMERS_PRIMARY.ALT_VALUE3,ALT_VALUE3 Value3
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE4,ALT_FTA_TABLE_ATTRIBUTE4 Name of the unit tracking attribute parameter4
API_CUSTOMERS_PRIMARY.APL_VISA_NBR,APL_VISA_NBR Primary visa number
API_CUSTOMERS_PRIMARY.APL_NATIONALITY_CD,APL_NATIONALITY_CD Primary Nationality code
API_CUSTOMERS_PRIMARY.APL_EDUCATION_LEVEL_CD,APL_EDUCATION_LEVEL_CD Primary Applicant education level code
API_CUSTOMERS_PRIMARY.APA_CONFIRMED_IND,APA_CONFIRMED_IND Indicates if the address is confirmed or not
API_CUSTOMERS_PRIMARY.APT_TIME_ZONE_CD,APT_TIME_ZONE_CD  Stores the Timezone of the primary customer
API_CUSTOMERS_PRIMARY.APL_SCRA_IND,APL_SCRA_IND Stores the scra Indicator
API_CUSTOMERS_PRIMARY.APL_SCRA_EFFECTIVE_DT,APL_SCRA_EFFECTIVE_DT Stores the scra effective date
API_CUSTOMERS_PRIMARY.APL_SCRA_ORDER_REF_NBR,APL_SCRA_ORDER_REF_NBR Stores the scra order reference number
API_CUSTOMERS_PRIMARY.APL_SCRA_RELEASED_DT,APL_SCRA_RELEASED_DT Stores the scra released date
API_CUSTOMERS_PRIMARY.APL_PA_ADDRESS,APL_PA_ADDRESS Address
API_CUSTOMERS_PRIMARY.APL_KYC_REF_NBR,APL_KYC_REF_NBR Applicant  know your customer reference number
API_CUSTOMERS_PRIMARY.APL_KYC_STATUS_CD,APL_KYC_STATUS_CD Status Code
API_CUSTOMERS_PRIMARY.APL_LIAB_NBR,APL_LIAB_NBR Applicant liability number
API_CUSTOMERS_PRIMARY.APL_BIRTH_PLACE,APL_BIRTH_PLACE Birth Place
API_CUSTOMERS_PRIMARY.APL_BIRTH_COUNTRY_CD,APL_BIRTH_COUNTRY_CD Country Code
API_CUSTOMERS_PRIMARY.APL_US_RES_IND,APL_US_RES_IND Indicates whether the US Resident is currently enabled
API_CUSTOMERS_PRIMARY.APL_CUSTOMER_CATEGORY_CD,APL_CUSTOMER_CATEGORY_CD Customer Category Code
API_CUSTOMERS_PRIMARY.APL_PA_ISSUED_IND,APL_PA_ISSUED_IND Indicates whether the payee issued is currently enabled
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_NAME,APL_PA_HOLDER_NAME Holder Name
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_ADR_CNTRY_CD,APL_PA_HOLDER_ADR_CNTRY_CD Applicant Personal  holder  address country code
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_NATIONALITY_CD,APL_PA_HOLDER_NATIONALITY_CD unique Applicant Nationality code
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_PHONE,APL_PA_HOLDER_PHONE Holder Phone Number
API_CUSTOMERS_PRIMARY.APA_PHONE_ISD_CD,APA_PHONE_ISD_CD Phone ISD code for  Api_Customers_Primary
API_CUSTOMERS_PRIMARY.APE_PHONE_ISD_CD,APE_PHONE_ISD_CD Phone ISD code
API_CUSTOMERS_PRIMARY.APT_PHONE_ISD_CD,APT_PHONE_ISD_CD Phone ISD Code
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_PHONE_ISD_CD,APL_PA_HOLDER_PHONE_ISD_CD  Phone ISD code
API_CUSTOMERS_PRIMARY.APT_PHONE,APT_PHONE Phone number
API_CUSTOMERS_PRIMARY.APT_PHONE_EXTN,APT_PHONE_EXTN Phone Extension
API_CUSTOMERS_PRIMARY.APT_TELECOM_TYPE_CD,APT_TELECOM_TYPE_CD Type of the telecom such as pager
API_CUSTOMERS_PRIMARY.APE_ACTUAL_PAY_DAY_DT,APE_ACTUAL_PAY_DAY_DT Actual pay day date of the primary applicants employment for conversion.
API_CUSTOMERS_PRIMARY.APA_CUR_CURRENCY_CODE,APA_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_CUR_CURRENCY_CODE,APE_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_STATED_PAY_DAY_DT,APE_STATED_PAY_DAY_DT Stated pay date
API_CUSTOMERS_PRIMARY.APA_CUR_CURRENCY_CODE,APA_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_CUR_CURRENCY_CODE,APE_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_STATED_PAY_DAY_DT,APE_STATED_PAY_DAY_DT Stated pay date
API_CUSTOMERS_PRIMARY.APL_PAH_HIERARCHY_CODE,APL_PAH_HIERARCHY_CODE Payment Hierarchy Code
API_CUSTOMERS_PRIMARY.APL_SHARE_CREDIT_INFO_IND,APL_SHARE_CREDIT_INFO_IND Share Credit Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_SKIP_IND,APL_SKIP_IND Indicates if current address for business applicant is not valid
API_CUSTOMERS_PRIMARY.APL_DECEASED_DT,APL_DECEASED_DT Deceased date of customer
API_CUSTOMERS_PRIMARY.APL_STOP_CORR_IND,APL_STOP_CORR_IND Indicates if customer correspondence must be stopped
API_CUSTOMERS_PRIMARY.APL_PRIVACY_OPT_OUT_IND,APL_PRIVACY_OPT_OUT_IND Indicates if business applicant has opted out to share privacy information
API_CUSTOMERS_PRIMARY.APL_UPDATE_CUSTOMER_INFO_IND,APL_UPDATE_CUSTOMER_INFO_IND Customer override indicator
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE,APL_CREDIT_SCORE Archive:Credit score value
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE_RECEIVED_DT,APL_CREDIT_SCORE_RECEIVED_DT Credit score received date.
API_CUSTOMERS_PRIMARY.APL_CREDIT_SOURCE_CD,APL_CREDIT_SOURCE_CD Reference to Credit source code
API_CUSTOMERS_PRIMARY.APL_COMMENTS,APL_COMMENTS Customer Comments
API_CUSTOMERS_PRIMARY.APL_REASON_CD,APL_REASON_CD Customer Reason code
API_CUSTOMERS_PRIMARY.APL_REFERENCE_NBR,APL_REFERENCE_NBR Reference Number
API_CUSTOMERS_PRIMARY.APL_SKIP_IND,APL_SKIP_IND Indicates if current address for business applicant is not valid
API_CUSTOMERS_PRIMARY.APL_SHARE_CR_OPT_OUT_IND,APL_SHARE_CR_OPT_OUT_IND Staging :  Share Credit Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_UPDATE_CUSTOMER_INFO_IND,APL_UPDATE_CUSTOMER_INFO_IND Customer override indicator
API_CUSTOMERS_PRIMARY.APL_UTILIZATION_PERC,APL_UTILIZATION_PERC Stores the applicant credit limit utilization percentage
API_CUSTOMERS_PRIMARY.APT_PERMISSION_TO_CALL_IND,APT_PERMISSION_TO_CALL_IND Indicates Applicant telecom Permission to call
API_CUSTOMERS_PRIMARY.APT_PERMISSION_TO_TEXT_IND,APT_PERMISSION_TO_TEXT_IND Indicates Applicant telecom Permission to text
API_CUSTOMERS_PRIMARY.CREATED_BY,CREATED_BY Standard Who
API_CUSTOMERS_PRIMARY.CREATION_DATE,CREATION_DATE Standard Who
API_CUSTOMERS_PRIMARY.APA_PERMISSION_TO_CALL_IND,APA_PERMISSION_TO_CALL_IND Indicates Applicant address Permission to call
API_CUSTOMERS_PRIMARY.APA_PERMISSION_TO_TEXT_IND,APA_PERMISSION_TO_TEXT_IND Indicates Applicant address Permission to text
API_CUSTOMERS_PRIMARY.APE_PERMISSION_TO_CALL_IND,APE_PERMISSION_TO_CALL_IND Indicates Applicant employment Permission to call
API_CUSTOMERS_PRIMARY.APE_PERMISSION_TO_TEXT_IND,APE_PERMISSION_TO_TEXT_IND Indicates Applicant employment Permission to text
API_CUSTOMERS_PRIMARY.APL_COMMENTS,APL_COMMENTS Customer Comments
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE,APL_CREDIT_SCORE Archive:Credit score value
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE_RECEIVED_DT,APL_CREDIT_SCORE_RECEIVED_DT Credit score received date.
API_CUSTOMERS_PRIMARY.APL_CREDIT_SOURCE_CD,APL_CREDIT_SOURCE_CD Reference to Credit source code
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_EXPIRY_DT,APL_CRED_LIMIT_EXPIRY_DT Business applicant credit limit expiry date
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_GRADE_CD,APL_CRED_LIMIT_GRADE_CD Reference key to lookup credit limit grade code 
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_MAX_AMT,APL_CRED_LIMIT_MAX_AMT Stores the maximum credit limit amount
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_MAX_LC_RATE,APL_CRED_LIMIT_MAX_LC_RATE Stores the credit limit maximum Late Charge rate
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_RENEW_DT,APL_CRED_LIMIT_RENEW_DT Business applicant credit limit renew date
API_CUSTOMERS_PRIMARY.APL_CUS_NBR,APL_CUS_NBR Reference Number for Customer
API_CUSTOMERS_PRIMARY.APL_DECEASED_DT,APL_DECEASED_DT Deceased date of customer
API_CUSTOMERS_PRIMARY.APL_INSURANCE_OPT_OUT_IND,APL_INSURANCE_OPT_OUT_IND Applicant Insurance Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_MARKETING_OPT_OUT_IND,APL_MARKETING_OPT_OUT_IND Applicant Marketing Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_PRIVACY_OPT_OUT_IND,APL_PRIVACY_OPT_OUT_IND Indicates if business applicant has opted out to share privacy information
API_CUSTOMERS_PRIMARY.APL_REASON_CD,APL_REASON_CD Customer Reason code
API_CUSTOMERS_PRIMARY.APL_REFERENCE_NBR,APL_REFERENCE_NBR Reference Number
API_CUSTOMERS_PRIMARY.APL_SHARE_CREDIT_INFO_IND,APL_SHARE_CREDIT_INFO_IND Share Credit Opt Out Indicator
